draft_year,pick,name,position,height_inches,weight,age_at_draft,combine_max_vertical,combine_lane_agility,combine_shuttle,combine_three_qtr_sprint,combine_wingspan_inches,wingspan_over_height,pg_g,pg_mp,pg_fg_pct,pg_ft_pct,p36_pts,p36_reb,p36_ast,p36_blk,p36_stl,p36_to,p36_pf,adv1_ts_pct,adv1_3pa_rate,adv1_fta_rate,adv1_proj_nba_3p,adv1_usg_pct,adv1_ast_usg,adv1_ast_to,adv2_per,adv2_ows_40,adv2_dws_40,adv2_obpm,adv2_dbpm,limited_data,scaled_height_inches,scaled_weight,scaled_age_at_draft,scaled_combine_max_vertical,scaled_combine_lane_agility,scaled_combine_shuttle,scaled_combine_three_qtr_sprint,scaled_combine_wingspan_inches,scaled_wingspan_over_height,scaled_pg_g,scaled_pg_mp,scaled_pg_fg_pct,scaled_pg_ft_pct,scaled_p36_pts,scaled_p36_reb,scaled_p36_ast,scaled_p36_blk,scaled_p36_stl,scaled_p36_to,scaled_p36_pf,scaled_adv1_ts_pct,scaled_adv1_3pa_rate,scaled_adv1_fta_rate,scaled_adv1_proj_nba_3p,scaled_adv1_usg_pct,scaled_adv1_ast_usg,scaled_adv1_ast_to,scaled_adv2_per,scaled_adv2_ows_40,scaled_adv2_dws_40,scaled_adv2_obpm,scaled_adv2_dbpm,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,umap_x,umap_y,umap_z
2010,1,John Wall PG | Kentucky,PG,76.0,196.0,19.78,39.0,10.84,3.03,3.14,81.25,5.25,37.0,34.8,0.461,0.754,17.2,4.4,6.7,0.5,1.9,4.1,2.0,0.562,0.26,0.53,0.342,25.7,1.35,1.62,22.3,0.115,0.081,5.6,3.3,0,-1.181018293054525,-0.8107950748386836,-0.5200940991953344,1.2991068142089612,-0.920834810478348,-0.0693473078379953,-1.265909334703189,-0.5054068220805185,0.9595340925370196,0.4891559515533308,0.952991712118521,-0.4686232223692346,0.1843831431866988,-0.1536477475347712,-1.1124282764269502,2.3055238526481494,-0.6130964825107246,1.0545470172055689,2.2310760608322893,-0.9842069831495835,-0.4010298742838618,-0.1914860689486384,0.9702036225929418,-0.201863360949555,0.2262435719388445,2.185099713813424,0.7952179871331908,-0.168596931236564,-0.1352694305757539,0.3332836791477287,-0.0323733553856288,0.0260706419021691,-3.090234782589178,-0.215407881593517,3.544966553518043,1.1050467274616411,0.7201382431361584,0.0011067881803515,0.7039977748466815,1.3980859595463826,1.008753389483781,-0.4999485335063526,0.0616609430235446,-0.7320693473355104,0.4242630868266191,0.1756822127148908,0.1906120415551237,1.3213594,2.463327,4.874261
2010,2,Evan Turner SG | Ohio State,SG,79.0,214.0,21.64,34.5,11.06,3.03,3.27,80.0,1.0,31.0,35.7,0.519,0.754,20.6,9.3,6.1,0.9,1.7,4.4,2.8,0.581,0.12,0.4,0.338,33.1,1.13,1.36,30.0,0.144,0.101,5.6,3.3,0,-0.178627672076982,-0.0311086988403368,0.9520880374649622,-0.5988855025446796,-0.2535004066493321,-0.0693473078379953,0.2577635406216921,-0.9166395656543114,-1.3436996369207286,-0.2830196166162781,1.1169657636747108,0.3620131132003007,0.1843831431866988,0.808672355446162,0.6592925556959502,1.947935293874594,-0.2427071987107869,0.6697123237229679,2.6583033916299628,0.0539291497616204,-0.0250663748083883,-1.0023699613266543,0.033134429654405,-0.353695303412682,1.9999461096312596,1.5125903271380468,0.3485893433644084,1.3473244709824777,0.6022635653359989,1.300430702788262,-0.0323733553856288,0.0260706419021691,-0.7828278746974717,2.2675451853692548,3.045161004498858,2.3294538515886223,-0.6904068133893831,-1.1048786202419494,0.3824279579363051,-1.527629682159243,-0.1048906380990757,0.979511461970256,0.0849852814662742,-0.5330531536316429,1.052250335497495,0.3783436932396695,0.2580031461430029,2.0388327,1.1643877,4.5797415
2010,3,Derrick Favors PF/C | Georgia Tech,PF/C,82.25,245.0,18.92,35.5,11.74,3.03,3.25,88.0,5.75,36.0,27.5,0.611,0.629,16.2,11.0,1.3,2.7,1.2,3.3,3.4,0.621,0.003,0.488,0.307,21.8,0.36,0.41,24.5,0.093,0.101,5.6,3.3,0,0.9072955006486896,1.3116845042679268,-1.200780463457622,-0.1771094321549817,1.809169568822165,-0.0693473078379953,0.0233523290332484,1.715249993217963,1.230502766590872,0.3604600235250627,-0.377020039392787,1.6795741972071494,-1.1624921280106204,-0.4366830719409278,1.2739712117385888,-0.912773176313846,1.4240445783889326,-0.2923744099835347,1.0918031787051623,0.8325312494450238,0.7664357293505075,-1.6800372142425677,0.6674581910281835,-1.530392857501916,-0.7085456033314816,-0.84119252622577,-1.2833230088676812,0.2645234693974478,-0.6947772205777738,1.300430702788262,-0.0323733553856288,0.0260706419021691,5.11132823434538,-0.8740163848081374,0.6821903493832626,0.607372504220222,-0.096400621974747,-0.1024763577080405,0.2587100252805219,1.1500419386626943,0.5771311121470385,-0.4931168954682504,-0.1138965246756306,-0.5262294589420722,-0.4981476335842254,1.444925538137622,0.2720024549360809,0.8523762,-1.6602508,1.5776944
2010,4,Wesley Johnson SF | Syracuse,SF,79.25,206.0,22.93,37.0,11.43,3.03,3.14,85.0,5.75,35.0,35.0,0.502,0.772,17.0,8.7,2.3,1.9,1.7,2.4,2.2,0.6,0.299,0.352,0.356,22.1,0.5,0.96,24.2,0.121,0.095,5.6,3.3,0,-0.0950951203288534,-0.3776359770618243,1.9731175838583932,0.4555546734295652,0.8688347270630983,-0.0693473078379953,-1.265909334703189,0.7282914086408602,1.230502766590872,0.2317640954967945,0.989430390242119,0.1185507389816435,0.378333182239113,-0.2102548124160023,0.4423471476809007,-0.3167922450245877,0.683266010789057,0.6697123237229679,-0.189878813687855,-0.7246729499217823,0.3508971246670871,0.0344030153566658,-0.3128603492767473,0.3295484376713872,-0.6366387436953025,-0.4132320074323486,-0.3385316470491031,0.2054615965837187,0.0173236030611603,1.0102865956961018,-0.0323733553856288,0.0260706419021691,0.3505894046678489,0.5747479221560968,0.2777689814675123,-0.8076890783731318,0.7090560206143844,2.41884135060166,-0.0205692836057786,0.2301737782107086,0.2593920860390724,0.4583343764622674,-1.0659817942821534,0.0226717872623696,0.5335374206900491,1.6490774800591153,-0.0515856590503432,1.3916059,-0.5132409,3.6406567
2010,5,DeMarcus Cousins C | Kentucky,C,82.75,276.55999999999995,19.84,28.0,11.4,3.03,3.55,89.75,7.0,38.0,23.5,0.558,0.604,23.1,13.739,1.5,2.8,1.3,3.2,4.9,0.579,0.016,0.726,0.305,30.5,0.3,0.49,34.2,0.17,0.121,5.6,3.3,0,1.074360604144947,2.6787346168516923,-0.4726043528514549,-3.3404299600777163,0.7778345810864165,-0.0693473078379953,3.5395205028598973,2.290975834221273,1.907924451725504,0.617851879581599,-1.105793601864737,0.9205444422901612,-1.4318671822500846,1.5162606664615537,2.264326999327287,-0.7935769900559944,1.5166418993389166,-0.099957063242234,0.9493940684392722,2.7790364986535327,-0.0646414800163332,-1.6047408528074658,2.383015636561812,-1.6063088287334797,1.376753326117708,-1.0246041771372365,-1.1458988107849788,2.174190690374683,1.2635000444292956,2.267577726428794,-0.0323733553856288,0.0260706419021691,7.357737324443059,1.9014233297296652,1.109449760805321,3.126368595715322,-2.9062513742738565,0.0572442608780695,-1.20944186009076,-0.6718452333893823,0.8046692202473876,-2.0177276628465863,-0.2999241610533802,1.2455184905693315,0.1178020476565231,-1.797664664409195,-0.0132382032260688,0.5993929,-2.5243516,1.7189071
2010,6,Ekpe Udoh C | Baylor,C,81.75,237.0,23.07,33.5,11.15,3.03,3.29,88.5,6.75,36.0,35.1,0.49,0.685,14.3,10.1,2.8,3.8,0.8,2.5,2.6,0.535,0.067,0.415,0.316,22.1,0.65,1.11,24.9,0.108,0.082,5.6,3.3,0,0.7402303971524326,0.9651572260464396,2.0839269919941152,-1.0206615729343775,0.0195000312807186,-0.0693473078379953,0.4921747522101357,1.8797430906474804,1.7724401146985775,0.3604600235250627,1.007649729303918,-0.0533050545844673,-0.5590920065142209,-0.9744501883126252,0.9485530997160152,-0.0188017793799585,2.4426151088387607,-1.0620437969487366,-0.047469703421964,-0.2056048834661803,-0.9352937945911164,-1.3093474348697602,0.1412577980703897,-1.1887709869598804,-0.6366387436953025,0.045297119846317,-0.0808612756440361,0.343272633149086,-0.3132946364854876,0.3816410303297554,-0.0323733553856288,0.0260706419021691,3.001250055508005,-0.3071832159194949,0.8222794949969306,0.0126671658628785,-0.9253285255220842,2.727841796994788,1.753806108660818,-0.0149533823740893,-0.676536051103404,-0.5193403884118868,-0.5282421370067155,-0.033898183440533,1.6580614108521436,-0.2726883728987835,-0.7374880867836758,0.9315897,-1.5355637,2.3294945
2010,7,Greg Monroe PF/C | Georgetown,PF/C,83.0,247.0,20.03,29.0,12.1,3.03,3.35,86.25,3.25,34.0,34.2,0.525,0.66,16.9,10.1,4.0,1.6,1.3,3.5,2.7,0.567,0.07,0.543,0.312,26.7,0.84,1.14,25.2,0.11,0.079,5.6,3.3,0,1.1578931558930754,1.3983163238232987,-0.3222201560958322,-2.9186538896880183,2.901171320542368,-0.0693473078379953,1.1954083869754666,1.139524152214653,-0.1243406036783913,0.1030681674685263,0.8436756777477296,0.4479410099833562,-0.828467060753685,-0.2385583448566184,0.9485530997160152,0.6963753381671516,0.4054740479391039,-0.099957063242234,1.3766213992369445,-0.0758378668522796,-0.302092111264002,-1.2919713514616598,1.0639105418867956,-1.3406029294230073,0.465933104059441,0.6261006810659601,-0.0293272013630231,0.4023345059628151,-0.2624302919398494,0.2365689767836753,-0.0323733553856288,0.0260706419021691,2.9518550927430653,0.1754451781030521,1.3145475319070343,1.8468783098077024,-3.685991135631728,-0.1826476255941051,1.4870458316105006,-0.4264599651431742,0.1516991230832279,0.1592982717700932,-0.5502750850028926,-0.7852322600208428,-0.5406250002052064,1.107026475656133,-0.3995824531597892,0.54599935,-2.58911,1.9599591
2010,8,Al-Farouq Aminu SF | Wake Forest,SF,80.5,216.0,19.73,33.5,11.29,3.03,3.3,87.25,6.75,31.0,31.3,0.447,0.698,18.2,12.3,1.5,1.6,1.3,3.7,3.3,0.524,0.176,0.532,0.326,27.5,0.33,0.41,24.4,0.082,0.091,5.6,3.3,0,0.3225676384117895,0.0555231207150349,-0.5596688878152355,-1.0206615729343775,0.4441673791719058,-0.0693473078379953,0.6093803580043549,1.468510347073687,1.7724401146985775,-0.2830196166162781,0.3153148449555655,-0.669121648196364,-0.4190169783097007,0.1293875768713854,1.7440195957711953,-0.7935769900559944,0.4054740479391039,-0.099957063242234,1.6614396197687265,0.7027642328311232,-1.152956873234813,-0.678016404375448,0.9846200717150732,-0.809191130802063,0.6576847297559184,-0.932898351681503,-1.2833230088676812,0.2448361784595378,-0.9745311155787836,0.816857190967995,-0.0323733553856288,0.0260706419021691,2.6686583118619005,-0.9781538479310632,0.4116662118107694,2.8355046845187104,-0.469772568675995,1.4700557078802696,-0.6441327049023331,-0.1703497260551686,0.666967185985184,-0.7673968950875811,-0.1991830705769847,-0.5514241733047701,-0.0373018485349275,-0.2019904184673774,0.0697523867390013,0.93314505,-0.9608476,2.3573225
2010,9,Gordon Hayward SF | Butler,SF,80.0,211.0,20.23,34.5,11.73,3.03,3.22,79.75,-0.25,37.0,33.5,0.464,0.829,16.7,8.8,1.8,0.9,1.2,2.5,2.3,0.601,0.429,0.579,0.357,24.7,0.49,0.73,24.3,0.129,0.097,5.6,3.3,0,0.1555025349155323,-0.1610564281733946,-0.1639210016162309,-0.5988855025446796,1.7788361868299378,-0.0693473078379953,-0.3282644883494143,-0.99888611436907,-2.02112132205536,0.4891559515533308,0.7161403043151379,-0.4256592739777069,0.99250830590509,-0.2951654097378495,0.4785047156834094,-0.6147827106692167,-0.2427071987107869,-0.2923744099835347,-0.047469703421964,-0.5949059333078822,0.3706846772710596,0.7873666297076805,1.323406626085159,0.3675064232871689,-0.013445960181752,-0.443800615917593,-0.7336262165368721,0.2251488875216286,0.2207809812437131,1.1070012980601551,-0.0323733553856288,0.0260706419021691,0.0135463884695536,0.8054691042386402,-0.9133819870584868,-0.361402139888823,-0.4743779291261635,-0.6838974437890029,-0.0491508802965055,-1.429891980108411,1.6210413317488968,1.4269973122676578,-0.9560421689286824,-1.5562419679516493,-0.9787071679923732,0.5936384362412793,-0.7347975046834282,0.63151157,0.08881517,4.1825
2010,10,Paul George SF | Fresno State,SF,80.75,214.0,20.12,36.0,11.1,3.03,3.25,83.25,2.5,29.0,33.2,0.424,0.909,18.2,7.8,3.3,0.9,2.4,3.5,3.1,0.572,0.46,0.364,0.384,27.9,0.8,0.94,24.3,0.096,0.075,5.6,3.3,0,0.4061001901599181,-0.0311086988403368,-0.2509855365800115,0.0337786030398672,-0.132166878680423,-0.0693473078379953,0.0233523290332484,0.1525655676375501,-0.5307936147591704,-0.5404114726728144,0.6614822871297421,-0.9985119191980766,1.854508479471375,0.1293875768713854,0.1169290356583274,0.2791886862646706,-0.2427071987107869,2.0166337509120718,1.3766213992369445,0.4432301996033224,-0.2031543482441399,0.966919491591384,-0.2263616545439592,1.392372034913276,0.7535605426041567,0.5038262471249828,-0.3728876965697787,0.2251488875216286,-0.6184807037593164,0.0431395720555684,-0.0323733553856288,0.0260706419021691,-1.6451957118930305,0.2116188207788753,0.3956199639225186,1.1835464129227198,-0.1925243451955269,0.0650410556474312,-1.8945043970708944,-0.8752672205612513,0.0170905480762082,0.2235032650729875,-1.3188119147564228,-1.1428686178951009,0.1979398588536533,0.4676384906154687,1.464316354220218,0.8675495,1.1889265,4.0054955
