draft_year,pick,name,player_slug,player_url,position,height,weight,age_at_draft,combine_max_vertical,combine_lane_agility,combine_shuttle,combine_three_qtr_sprint,combine_standing_reach,combine_wingspan,pg_g,pg_mp,pg_fgm_fga,pg_fg_pct,pg_tpm_tpa,pg_3p_pct,pg_ftm_fta,pg_ft_pct,pg_reb,pg_ast,pg_blk,pg_stl,pg_to,pg_pf,pg_pts,p36_g,p36_mp,p36_fgm_fga,p36_fg_pct,p36_tpm_tpa,p36_3p_pct,p36_ftm_fta,p36_ft_pct,p36_reb,p36_ast,p36_blk,p36_stl,p36_to,p36_pf,p36_pts,adv1_ts_pct,adv1_efg_pct,adv1_3pa_rate,adv1_fta_rate,adv1_proj_nba_3p,adv1_usg_pct,adv1_ast_usg,adv1_ast_to,adv2_per,adv2_ows_40,adv2_dws_40,adv2_ws_40,adv2_ortg,adv2_drtg,adv2_obpm,adv2_dbpm,adv2_bpm
2010,1,John Wall PG | Kentucky,john-wall,https://www.tankathon.com/players/john-wall,PG,"6'4""",196lbs,19.78yrs,"39.0""",10.84,,3.14,"8'5.5""","6'9.25""",37,34.8,5.5-11.8,.461,1.0-3.1,.325,4.7-6.3,.754,4.3,6.5,0.5,1.8,4.0,1.9,16.6,37,36.0,5.7-12.2,.461,1.0-3.2,.325,4.9-6.5,.754,4.4,6.7,0.5,1.9,4.1,2.0,17.2,.562,.503,.260,.530,.342,25.7,1.35,1.62,22.3,.115,.081,.196,111.7,94.1,,,
2010,2,Evan Turner SG | Ohio State,evan-turner,https://www.tankathon.com/players/evan-turner,SG,"6'7""",214lbs,21.64yrs,"34.5""",11.06,,3.27,"8'7.5""","6'8""",31,35.7,7.6-14.7,.519,0.6-1.8,.364,4.5-5.9,.754,9.2,6.0,0.9,1.7,4.4,2.8,20.4,31,36.0,7.7-14.8,.519,0.6-1.8,.364,4.5-5.9,.754,9.3,6.1,0.9,1.7,4.4,2.8,20.6,.581,.540,.120,.400,.338,33.1,1.13,1.36,30.0,.144,.101,.245,111.2,88.5,,,
2010,3,Derrick Favors PF/C | Georgia Tech,derrick-favors,https://www.tankathon.com/players/derrick-favors,PF/C,"6'10.25""",245lbs,18.92yrs,"35.5""",11.74,,3.25,"9'2""","7'4""",36,27.5,5.0-8.1,.611,0.0-0.0,.000,2.5-4.0,.629,8.4,1.0,2.1,0.9,2.5,2.6,12.4,36,36.0,6.5-10.6,.611,0.0-0.0,.000,3.3-5.2,.629,11.0,1.3,2.7,1.2,3.3,3.4,16.2,.621,3PA Rate,.003,.488,.307,21.8,0.36,0.41,24.5,.093,.101,.194,111.5,88.6,,,
2010,4,Wesley Johnson SF | Syracuse,wesley-johnson,https://www.tankathon.com/players/wesley-johnson,SF,"6'7.25""",206lbs,22.93yrs,"37.0""",11.43,,3.14,"8'10""","7'1""",35,35.0,5.9-11.8,.502,1.5-3.5,.415,3.2-4.1,.772,8.5,2.2,1.8,1.7,2.3,2.1,16.5,35,36.0,6.1-12.1,.502,1.5-3.6,.415,3.3-4.2,.772,8.7,2.3,1.9,1.7,2.4,2.2,17.0,.600,.564,.299,.352,.356,22.1,0.50,0.96,24.2,.121,.095,.216,118.8,90.4,,,
2010,5,DeMarcus Cousins C | Kentucky,demarcus-cousins,https://www.tankathon.com/players/demarcus-cousins,C,"6'10.75""",292lbs,19.84yrs,"27.5""",11.4,,3.55,"9'5""","7'5.75""",38,23.5,5.4-9.7,.558,0.0-0.2,.167,4.3-7.1,.604,9.8,1.0,1.8,,2.1,3.2,15.1,38,36.0,8.3-14.9,.558,0.0-0.3,.167,6.6-10.9,.604,15.0,1.5,2.8,,3.2,4.9,23.1,.579,.560,.016,.726,.305,30.5,0.30,0.49,34.2,.170,.121,.291,118.5,83.9,,,
2010,6,Ekpe Udoh C | Baylor,ekpe-udoh,https://www.tankathon.com/players/ekpe-udoh,C,"6'9.75""",237lbs,23.07yrs,"33.5""",11.15,,3.29,"8'10.5""","7'4.5""",36,35.1,5.3-10.8,.490,0.2-0.7,.269,3.1-4.5,.685,9.8,2.7,3.7,0.8,2.4,,13.9,36,36.0,5.4-11.1,.490,0.2-0.7,.269,3.2-4.6,.685,10.1,2.8,3.8,0.8,2.5,,14.3,.535,.499,.067,.415,.316,22.1,0.65,1.11,24.9,.108,.082,.193,114.3,93.3,,,
2010,7,Greg Monroe PF/C | Georgetown,greg-monroe,https://www.tankathon.com/players/greg-monroe,PF/C,"6'11""",247lbs,20.03yrs,"29.0""",12.1,,3.35,"9'0.5""","7'2.25""",34,34.2,5.9-11.3,.525,0.2-0.8,.259,4.1-6.1,.660,9.6,3.8,1.5,1.2,3.3,2.6,16.1,34,36.0,6.2-11.9,.525,0.2-0.8,.259,4.3-6.4,.660,10.1,4.0,1.6,1.3,3.5,2.7,16.9,.567,.534,.070,.543,.312,26.7,0.84,1.14,25.2,.110,.079,.189,110.0,93.9,,,
2010,8,Al-Farouq Aminu SF | Wake Forest,al-farouq-aminu,https://www.tankathon.com/players/al-farouq-aminu,SF,"6'8.5""",216lbs,19.73yrs,"33.5""",11.29,,3.3,"9'0.5""","7'3.25""",31,31.3,5.4-12.1,.447,0.6-2.1,.273,4.5-6.4,.698,10.7,1.3,1.4,,3.2,2.9,15.8,31,36.0,6.2-13.9,.447,0.7-2.4,.273,5.2-7.4,.698,12.3,1.5,1.6,,3.7,3.3,18.2,.524,.471,.176,.532,.326,27.5,0.33,0.41,24.4,.082,.091,.177,105.1,91.0,,,
2010,9,Gordon Hayward SF | Butler,gordon-hayward,https://www.tankathon.com/players/gordon-hayward,SF,"6'8""",211lbs,20.23yrs,"34.5""",11.73,,3.22,"8'7""","6'7.75""",37,33.5,4.7-10.1,.464,1.3-4.3,.294,4.8-5.8,.829,8.2,1.7,0.8,1.1,2.3,2.1,15.5,37,36.0,5.1-10.9,.464,1.4-4.6,.294,5.2-6.2,.829,8.8,1.8,0.9,1.2,2.5,2.3,16.7,.601,.527,.429,.579,.357,24.7,0.49,0.73,24.3,.129,.097,.223,117.1,90.1,,,
2010,10,Paul George SF | Fresno State,paul-george,https://www.tankathon.com/players/paul-george,SF,"6'8.75""",214lbs,20.12yrs,,,,,,"6'11.25""",29,33.2,5.3-12.5,.424,2.0-5.8,.353,4.1-4.6,.909,7.2,3.0,0.8,2.2,3.2,2.9,16.8,29,36.0,5.7-13.6,.424,2.2-6.3,.353,4.4-5.0,.909,7.8,3.3,0.9,2.4,3.5,3.1,18.2,.572,.506,.460,.364,.384,27.9,0.80,0.94,24.3,.096,.075,.175,107.6,94.9,,,
2010,11,Cole Aldrich C | Kansas,cole-aldrich,https://www.tankathon.com/players/cole-aldrich,C,"6'11.25""",236lbs,21.62yrs,"28.0""",11.48,,3.35,"9'3.5""","7'4.75""",36,26.8,4.1-7.4,.562,0.0-0.0,,3.0-4.4,.679,9.8,0.9,3.5,0.8,1.6,2.6,11.3,36,36.0,5.5-9.9,.562,0.0-0.0,,4.0-5.9,.679,13.2,1.2,4.7,1.1,2.1,3.5,15.2,.596,3PA Rate,.000,.600,.314,19.9,0.29,0.55,27.9,.125,.120,.245,121.2,83.1,,,
2010,12,Xavier Henry SG | Kansas,xavier-henry,https://www.tankathon.com/players/xavier-henry,SG,"6'6.5""",210lbs,19.25yrs,"36.5""",11.1,,3.18,"8'9""","6'11.25""",36,27.5,4.5-9.8,.458,1.9-4.6,.418,2.5-3.2,.783,4.4,1.5,0.5,,1.9,1.8,13.4,36,36.0,5.9-12.8,.458,2.5-6.0,.418,3.3-4.2,.783,5.8,2.0,0.7,,2.5,2.4,17.5,.591,.555,.466,.325,.374,23.4,0.42,0.77,21.5,.113,.085,.198,116.3,93.0,,,
2010,13,Ed Davis PF | North Carolina,ed-davis,https://www.tankathon.com/players/ed-davis,PF,"6'9.75""",227lbs,21.03yrs,"36.0""",11.7,,3.21,"9'0""","7'0""",23,27.9,4.8-8.3,.578,0.0-0.0,,3.8-5.7,.659,9.6,1.0,2.8,0.4,2.0,,13.4,23,36.0,6.2-10.7,.578,0.0-0.0,,4.9-7.4,.659,12.4,1.3,3.6,0.5,2.6,,17.3,.607,3PA Rate,.000,.688,.312,21.5,0.32,0.48,26.4,.112,.081,.193,116.5,93.3,,,
2010,14,Patrick Patterson PF | Kentucky,patrick-patterson,https://www.tankathon.com/players/patrick-patterson,PF,"6'9.25""",240lbs,21.26yrs,"33.5""",11.14,,3.25,"8'11""","7'1.25""",38,33.0,5.7-9.8,.575,0.6-1.8,.348,2.4-3.4,.692,7.4,0.9,1.3,0.7,1.1,,14.3,38,36.0,6.2-10.7,.575,0.7-2.0,.348,2.6-3.7,.692,8.1,1.0,1.4,0.8,1.2,,15.6,.624,.607,.184,Proj NBA 3P%,.329,18.0,0.31,0.88,23.8,.147,.076,.223,133.1,94.9,,,
2010,15,Larry Sanders C | VCU,larry-sanders,https://www.tankathon.com/players/larry-sanders,C,"6'10.5""",222lbs,21.57yrs,"28.0""",12.49,,3.27,"9'4""","7'5.75""",35,26.9,5.6-10.5,.534,0.1-0.5,.250,3.1-4.8,.641,9.1,1.0,2.6,0.7,1.7,2.9,14.4,35,36.0,7.5-14.1,.534,0.1-0.7,.250,4.1-6.4,.641,12.2,1.3,3.5,0.9,2.3,3.9,19.3,.563,.540,.044,.455,.308,26.7,0.29,0.59,29.5,.136,.094,.230,116.4,90.8,,,
2010,16,Luke Babbitt SF | Nevada,luke-babbitt,https://www.tankathon.com/players/luke-babbitt,SF,"6'8.75""",218lbs,20.99yrs,"37.5""",10.98,,3.4,"8'8.5""","6'11.25""",34,37.1,7.4-14.8,.500,1.2-3.0,.416,5.9-6.4,.917,8.9,2.1,0.8,1.0,2.4,2.6,21.9,34,36.0,7.2-14.4,.500,1.2-2.9,.416,5.7-6.2,.917,8.6,2.0,0.8,1.0,2.3,2.5,21.3,.614,.542,.201,.432,.371,26.8,0.41,0.89,27.7,.171,.041,.213,124.1,104.3,,,
2010,17,Kevin Seraphin PF | Cholet Basket,kevin-seraphin,https://www.tankathon.com/players/kevin-seraphin,PF,"6'9""",260lbs,20.52yrs,,,,,,,35,16.4,2.7-5.2,.525,0.0-0.0,,0.8-1.4,.571,4.6,0.5,0.9,0.2,1.1,,6.3,35,36.0,5.9-11.4,.525,0.0-0.0,,1.8-3.1,.571,10.1,1.1,2.0,0.4,2.4,,13.8,.533,3PA Rate,.000,.268,.299,,,0.46,,,,,,,,,
2010,18,Eric Bledsoe PG/SG | Kentucky,eric-bledsoe,https://www.tankathon.com/players/eric-bledsoe,PG/SG,"6'1.5""",192lbs,20.52yrs,,,,,,"6'7.5""",37,30.3,3.9-8.4,.462,1.3-3.5,.383,2.2-3.3,.667,3.1,2.9,0.3,1.4,3.0,2.2,11.3,37,36.0,4.6-10.0,.462,1.5-4.2,.383,2.6-3.9,.667,3.7,3.4,0.4,1.7,3.6,2.6,13.4,.566,.540,.410,.394,.342,20.4,0.82,0.96,14.5,.053,.075,.125,102.6,95.7,,,
2010,19,Avery Bradley SG | Texas,avery-bradley,https://www.tankathon.com/players/avery-bradley,SG,"6'3.25""",180lbs,19.55yrs,"37.5""",11.47,,3.14,"8'2.5""","6'7.25""",34,29.5,4.7-10.8,.432,1.2-3.3,.375,1.1-1.9,.545,2.9,2.1,0.5,1.3,1.5,2.4,11.6,34,36.0,5.7-13.2,.432,1.5-4.0,.375,1.3-2.3,.545,3.5,2.6,0.6,1.6,1.8,2.9,14.2,.496,.489,.304,.179,.324,20.4,0.61,1.37,14.9,.064,,.128,106.7,98.6,,,
2010,20,James Anderson SG/SF | Oklahoma State,james-anderson,https://www.tankathon.com/players/james-anderson,SG/SF,"6'5.75""",208lbs,21.23yrs,"35.5""",11.86,,3.19,"8'8""","6'8.5""",33,34.1,6.8-15.0,.457,2.2-6.6,.341,6.3-7.8,.810,5.8,2.4,0.6,1.4,,2.7,22.3,33,36.0,7.2-15.8,.457,2.3-7.0,.341,6.7-8.2,.810,6.1,2.5,0.6,1.5,,2.9,23.5,.596,.532,.439,.522,.373,31.5,0.52,1.03,29.2,.185,.060,.246,121.3,99.2,,,
2010,21,Craig Brackins PF | Iowa State,craig-brackins,https://www.tankathon.com/players/craig-brackins,PF,"6'9.75""",229lbs,22.68yrs,"35.0""",11.65,,3.39,"9'1""","7'0""",32,35.1,6.0-14.3,.420,0.8-2.7,.310,3.7-4.8,.760,8.5,2.2,1.2,0.8,2.1,,16.5,32,36.0,6.2-14.7,.420,0.8-2.8,.310,3.8-4.9,.760,8.7,2.3,1.2,0.8,2.2,,16.9,.498,.450,.190,.337,.340,26.1,0.50,1.01,20.2,.078,.064,.142,105.6,98.0,,,
2010,22,Elliot Williams SG | Memphis,elliot-williams,https://www.tankathon.com/players/elliot-williams,SG,"6'4""",180lbs,20.99yrs,,,,,,,34,33.3,5.2-11.4,.459,1.8-4.8,.366,5.7-7.5,.758,4.0,3.8,0.1,1.3,2.9,2.0,17.9,34,36.0,5.6-12.3,.459,1.9-5.2,.366,6.2-8.1,.758,4.3,4.1,0.1,1.4,3.1,2.2,19.4,.599,.536,.423,.660,.359,27.7,0.87,1.28,23.6,.145,.053,.198,116.7,101.2,,,
2010,23,Trevor Booker PF | Clemson,trevor-booker,https://www.tankathon.com/players/trevor-booker,PF,"6'7.5""",236lbs,22.56yrs,"36.0""",11.15,,3.1,"8'10""","6'9.75""",32,30.8,5.9-11.3,.521,0.3-1.1,.265,3.2-5.3,.591,8.4,2.5,1.4,1.3,1.9,,15.2,32,36.0,6.9-13.2,.521,0.4-1.3,.265,3.7-6.2,.591,9.8,2.9,1.6,1.5,2.2,,17.8,.549,.533,.094,.474,.305,24.6,0.71,1.31,26.4,.122,.102,.224,115.4,89.0,,,
2010,24,Damion James SF | Texas,damion-james,https://www.tankathon.com/players/damion-james,SF,"6'7.75""",227lbs,22.69yrs,"33.0""",10.89,,3.2,"8'11""","7'0.75""",34,30.3,6.2-12.3,.501,1.1-2.8,.383,4.6-6.8,.674,10.3,1.0,1.2,1.7,2.0,2.9,18.0,34,36.0,7.4-14.6,.501,1.3-3.3,.383,5.5-8.1,.674,12.2,1.2,1.4,2.0,2.4,3.4,21.4,.578,.544,.224,.549,.338,26.3,0.23,0.48,28.8,.148,.105,.253,119.8,87.8,,,
2010,25,Dominique Jones SG | South Florida,dominique-jones,https://www.tankathon.com/players/dominique-jones,SG,"6'5""",216lbs,21.67yrs,"32.5""",10.88,,3.31,"8'5""","6'9.25""",33,37.1,6.7-14.9,.450,1.6-5.1,.311,6.3-8.5,.741,6.1,3.6,0.6,1.7,2.9,2.8,21.4,33,36.0,6.5-14.5,.450,1.6-4.9,.311,6.1-8.2,.741,5.9,3.5,0.6,1.6,2.8,2.7,20.8,.562,.503,.339,.572,.349,30.8,0.79,1.24,26.6,.141,.062,.203,113.9,98.8,,,
2010,26,Quincy Pondexter SF | Washington,quincy-pondexter,https://www.tankathon.com/players/quincy-pondexter,SF,"6'7""",215lbs,22.27yrs,,,,,,,36,32.3,6.8-12.9,.528,0.5-1.4,.353,5.2-6.3,.827,7.4,1.8,0.6,1.3,1.9,2.5,19.3,36,36.0,7.6-14.4,.528,0.6-1.6,.353,5.8-7.0,.827,8.2,2.0,0.7,1.4,2.1,2.8,21.5,.608,.547,.110,.487,.345,25.6,0.44,0.93,28.1,.179,.069,.251,127.0,96.6,,,
2010,27,Jordan Crawford SG | Xavier,jordan-crawford,https://www.tankathon.com/players/jordan-crawford,SG,"6'4.5""",198lbs,21.65yrs,"34.5""",11.03,,3.37,"8'5""","6'7""",35,32.8,7.4-16.1,.462,2.3-5.8,.391,3.4-4.4,.773,4.7,2.9,0.2,1.3,2.4,1.6,20.5,35,36.0,8.1-17.7,.462,2.5-6.4,.391,3.7-4.8,.773,5.2,3.2,0.2,1.4,2.6,1.8,22.5,.564,.532,.359,.274,.371,30.8,0.65,1.19,25.4,.143,.063,.206,115.2,98.4,,,
2010,28,Greivis Vasquez PG/SG | Maryland,greivis-vasquez,https://www.tankathon.com/players/greivis-vasquez,PG/SG,"6'6.5""",211lbs,23.41yrs,,,,,,"6'7""",33,33.9,6.7-15.5,.429,2.1-5.8,.359,4.2-4.9,.857,4.6,6.3,0.4,1.7,3.4,2.1,19.6,33,36.0,7.1-16.5,.429,2.2-6.2,.359,4.5-5.2,.857,4.9,6.7,0.4,1.8,3.6,2.2,20.8,.549,.496,.374,.314,.377,30.2,1.17,1.87,25.6,.143,.068,.207,113.6,97.7,,,
2010,29,Daniel Orton C | Kentucky,daniel-orton,https://www.tankathon.com/players/daniel-orton,C,"6'9.5""",269lbs,19.86yrs,"30.5""",12.32,,3.39,"9'2.5""","7'4.25""",38,13.2,1.3-2.4,.527,0.0-0.1,.000,0.9-1.7,.524,3.3,0.4,1.4,0.6,1.0,2.3,3.4,38,36.0,3.5-6.5,.527,0.0-0.3,.000,2.5-4.6,.524,9.0,1.1,3.8,1.6,2.7,6.3,9.3,.533,3PA Rate,.022,.692,.293,15.0,0.33,0.39,15.5,.024,.104,.135,98.5,86.9,,,
2010,30,Lazar Hayward SF | Marquette,lazar-hayward,https://www.tankathon.com/players/lazar-hayward,SF,"6'5.75""",226lbs,23.55yrs,"36.0""",10.87,,3.31,"8'6""","7'0.75""",34,32.3,6.5-15.1,.432,1.9-5.5,.349,3.1-3.7,.843,7.5,1.5,0.5,1.9,2.0,3.4,18.1,34,36.0,7.2-16.8,.432,2.1-6.1,.349,3.5-4.1,.843,8.4,1.7,0.6,2.1,2.2,3.8,20.2,.536,.495,.362,.247,.374,31.6,0.35,0.78,25.7,.117,.080,.197,110.1,94.1,,,
2011,1,Kyrie Irving PG | Duke,kyrie-irving,https://www.tankathon.com/players/kyrie-irving,PG,"6'3.5""",191lbs,19.23yrs,,,,,,"6'4""",,27.5,5.0-9.5,.529,1.6-3.5,.462,5.8-6.5,.901,3.4,4.3,0.5,1.5,2.5,2.1,17.5,,36.0,6.5-12.4,.529,2.1-4.6,.462,7.6-8.5,.901,4.5,5.6,0.7,2.0,3.3,2.7,22.9,.697,.615,.375,.683,.385,26.4,1.13,1.74,32.5,.238,.079,.317,135.1,92.7,9.8,5.0,14.8
2011,2,Derrick Williams PF/SF | Arizona,derrick-williams,https://www.tankathon.com/players/derrick-williams,PF/SF,"6'8.75""",248lbs,20.06yrs,"34.5""",11.03,,3.23,"9'0""","7'1.5""",38,30.0,5.9-10.0,.595,1.1-1.9,.568,6.5-8.7,.746,8.3,1.1,0.7,1.0,2.6,2.8,19.5,38,36.0,7.1-12.0,.595,1.3-2.3,.568,7.8-10.4,.746,10.0,1.3,0.8,1.2,3.1,3.4,23.4,.690,.650,.195,.871,.357,28.9,0.30,0.43,32.8,.210,.067,.277,128.8,97.3,9.6,2.5,12.1
2011,3,Enes Kanter C | Kentucky,enes-kanter,https://www.tankathon.com/players/enes-kanter,C,"6'11.25""",259lbs,19.07yrs,"32.5""",11.3,,3.26,"9'1.5""","7'1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,4,Tristan Thompson PF | Texas,tristan-thompson,https://www.tankathon.com/players/tristan-thompson,PF,"6'8.75""",227lbs,20.26yrs,"35.0""",10.92,,3.26,"9'0.5""","7'1.25""",36,30.7,4.8-8.8,.546,0.0-0.0,,3.5-7.3,.487,7.8,1.3,2.4,0.9,1.8,,13.1,36,36.0,5.6-10.3,.546,0.0-0.0,,4.1-8.6,.487,9.1,1.5,2.8,1.1,2.1,,15.4,.536,3PA Rate,.000,.829,.288,22.4,0.36,0.70,24.2,.101,.098,.199,112.5,89.3,4.4,4.5,8.9
2011,5,Jonas Valanciunas C | Rytas,jonas-valanciunas,https://www.tankathon.com/players/jonas-valanciunas,C,"7'0""",231lbs,19.11yrs,,,,,,,,15.4,3.1-4.3,.708,0.0-0.0,,1.5-1.7,.885,5.8,0.2,0.7,,1.4,3.1,7.7,,36.0,7.2-10.1,.708,0.0-0.0,,3.5-4.0,.885,13.6,0.5,1.6,,3.3,7.2,18.0,.743,3PA Rate,.000,.400,.343,,,0.14,,,,,,,,,
2011,6,Jan Vesely PF | Partizan Belgrade,jan-vesely,https://www.tankathon.com/players/jan-vesely,PF,"6'11""",239lbs,21.15yrs,,,,,,,15,27.0,3.9-7.3,.536,0.7-1.9,.357,1.6-3.6,.444,3.6,1.1,0.9,1.3,1.6,,10.1,15,36.0,5.2-9.7,.536,0.9-2.5,.357,2.1-4.8,.444,4.8,1.5,1.2,1.7,2.1,,13.5,.560,.582,.255,.491,.299,,,0.67,,,,,,,,,
2011,7,Bismack Biyombo C | Fuenlabrada,bismack-biyombo,https://www.tankathon.com/players/bismack-biyombo,C,"6'9""",243lbs,18.80yrs,,,,,,,14,17.1,2.3-4.1,.552,0.0-0.0,,1.9-3.4,.553,5.1,0.3,2.3,0.4,1.7,2.0,6.4,14,36.0,4.8-8.6,.552,0.0-0.0,,4.0-7.2,.553,10.7,0.6,4.8,0.8,3.6,4.2,13.5,.560,3PA Rate,.000,.810,.297,,,0.17,,,,,,,,,
2011,8,Brandon Knight PG/SG | Kentucky,brandon-knight,https://www.tankathon.com/players/brandon-knight,PG/SG,"6'3.25""",177lbs,19.54yrs,"37.5""",10.74,,3.07,"8'2.5""","6'6.75""",38,35.9,5.7-13.5,.423,2.3-6.1,.377,3.6-4.5,.795,4.0,4.2,0.2,0.7,3.2,2.2,17.3,38,36.0,5.7-13.5,.423,2.3-6.1,.377,3.6-4.5,.795,4.0,4.2,0.2,0.7,3.2,2.2,17.3,.553,.508,.450,.333,.371,27.0,0.87,1.32,19.3,.106,.053,.156,109.9,101.5,4.5,0.9,5.5
2011,9,Kemba Walker PG | UConn,kemba-walker,https://www.tankathon.com/players/kemba-walker,PG,"6'1""",184lbs,21.11yrs,"39.5""",10.87,,3.16,"7'7.5""","6'3.5""",41,37.6,7.7-18.0,.428,1.8-5.5,.330,6.3-7.7,.819,5.4,4.5,0.2,1.9,2.3,1.4,23.5,41,36.0,7.4-17.2,.428,1.7-5.3,.330,6.0-7.4,.819,5.2,4.3,0.2,1.8,2.2,1.3,22.5,.543,.478,.307,.426,.364,32.4,0.86,1.98,29.9,.189,.062,.251,121.2,98.9,9.2,3.9,13.1
2011,10,Jimmer Fredette PG/SG | BYU,jimmer-fredette,https://www.tankathon.com/players/jimmer-fredette,PG/SG,"6'2.5""",196lbs,22.30yrs,,,,,,,37,35.8,9.4-20.7,.452,3.4-8.5,.396,6.8-7.6,.894,3.4,4.3,0.0,1.3,3.5,,28.9,37,36.0,9.5-20.8,.452,3.4-8.5,.396,6.8-7.6,.894,3.4,4.3,0.0,1.3,3.5,,29.1,.594,.533,.409,.369,.402,37.8,0.76,1.22,30.9,.200,.057,.257,118.0,100.0,10.0,0.8,10.8
2011,11,Klay Thompson SG/SF | Washington State,klay-thompson,https://www.tankathon.com/players/klay-thompson,SG/SF,"6'7.25""",206lbs,21.35yrs,"31.5""",10.99,,3.24,"8'7.5""","6'9""",34,34.7,7.1-16.2,.436,2.9-7.2,.398,4.6-5.4,.838,5.2,3.7,0.9,1.6,3.4,2.9,21.6,34,36.0,7.4-16.8,.436,3.0-7.5,.398,4.8-5.6,.838,5.4,3.8,0.9,1.7,3.5,3.0,22.4,.574,.525,.446,.336,.388,32.8,0.76,1.10,26.1,.126,.075,.197,109.8,95.8,6.8,,9.8
2011,12,Alec Burks SG | Colorado,alec-burks,https://www.tankathon.com/players/alec-burks,SG,"6'6""",193lbs,19.91yrs,"36.0""",10.96,,3.17,"8'7.5""","6'10""",38,31.4,6.6-14.1,.469,0.7-2.5,.292,6.6-7.9,.825,6.5,2.9,0.3,1.1,2.6,2.3,20.5,38,36.0,7.6-16.2,.469,0.8-2.9,.292,7.6-9.1,.825,7.5,3.3,0.3,1.3,3.0,2.6,23.5,.574,.495,.179,.564,.347,32.3,0.61,1.13,29.4,.188,.034,.221,120.2,106.0,8.0,0.0,8.1
2011,13,Markieff Morris PF | Kansas,markieff-morris,https://www.tankathon.com/players/markieff-morris,PF,"6'9.25""",241lbs,21.79yrs,"31.5""",,,,"8'10.5""","6'10.75""",38,24.4,5.1-8.7,.589,0.7-1.6,.424,2.7-4.0,.673,8.3,1.4,1.1,0.8,2.1,,13.6,38,36.0,7.5-12.8,.589,1.0-2.4,.424,4.0-5.9,.673,12.2,2.1,1.6,1.2,3.1,,20.1,.642,.627,.178,.462,.335,25.5,0.43,0.68,29.1,.156,.104,.259,121.5,88.1,6.7,3.6,10.3
2011,14,Marcus Morris PF/SF | Kansas,marcus-morris,https://www.tankathon.com/players/marcus-morris,PF/SF,"6'8.75""",230lbs,21.79yrs,"33.0""",,,,"8'9.5""","6'10""",38,28.3,6.3-11.1,.570,0.7-2.0,.342,3.9-5.7,.688,7.6,1.6,0.6,0.8,1.8,2.6,17.2,38,36.0,8.0-14.1,.570,0.9-2.5,.342,5.0-7.3,.688,9.7,2.0,0.8,1.0,2.3,3.3,21.9,.625,.601,.181,.511,.331,26.9,0.42,0.93,29.3,.182,.086,.268,126.5,92.5,8.0,2.9,10.9
